cenario,R,base
Rapida,1,D+1 ja agricultavel; solo arenoso/evento leve
Intermediaria (CALIBRADA),2,D+1 e D+2 bloqueados; volta a base em D+3 (dados 25/26)
Lenta,3,D+1 a D+3 bloqueados; eventos >30mm / solo pesado
