fazenda,pivo_id,area_ha,variedades,pluviometro,soja_plantio,soja_colheita,soja_ciclo,soja_maturidade,soja_prod_sc_ha,atraso_semeadura_soja_d,atraso_colheita_soja_d,disponivel_sem_atraso_soja,liberacao,algodao_plantio,algodao_emergencia,arrobas_ha,atraso_liberacao_ate_plantio_d,camp_chuva_mm,camp_maior_seq_bloq,camp_api_medio,camp_api_max,camp_dias_maior5,camp_dias_resid,camp_dias_bloq,jan_dias,jan_chuva_mm,jan_dias_maior5,jan_dias_resid,jan_dias_bloq,jan_maior_seq_bloq,jan_api_medio,jan_api_max,atraso_chuva_algodao_H1_d,atraso_chuva_algodao_H2_d,atraso_total_algodao_H1_d,atraso_total_algodao_H2_d,atraso_total_algodao_H1_ha_dia,atraso_total_algodao_H2_ha_dia
KRT,KRT-031,150.0,IMA 5901 B2RF,KRT-031,2025-10-04,2026-01-16,104.0,2026-01-29 12:00:00,36.11,10.0,-14.0,2026-01-29 12:00:00,2026-01-16,2026-01-24,2026-01-29,,8.0,751.5,9,47.5,127.7,29,32,61,9,74.6,5,0,5,5,42.4,61.0,1,0,1,0,150.0,0.0
KRT,KRT-022,150.0,FM 974 GLT,KRT-022,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-25,2026-01-30,,,765.9,12,48.6,137.2,33,35,68,55,410.6,19,18,37,12,49.9,101.7,5,13,5,13,750.0,1950.0
KRT,KRT-030,150.0,FM 985 GLTP,KRT-030,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-26,2026-01-31,,,724.7,17,45.8,143.7,32,29,61,56,374.4,18,15,33,17,43.9,82.1,4,13,4,13,600.0,1950.0
KRT,KRT-021,150.0,DP 1949 B3RF,KRT-021,2025-10-03,2026-01-26,115.0,2026-01-28 12:00:00,64.55,10.0,-3.0,2026-01-28 12:00:00,2026-01-26,2026-01-27,2026-02-01,,1.0,712.8,12,45.3,151.1,34,34,68,2,0.2,0,1,1,1,36.3,39.6,3,1,3,1,450.0,150.0
KRT,KRT-063,80.0,FM 985 GLTP,KRT-063,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-28,2026-02-02,,,798.2,10,49.6,140.3,34,27,61,58,411.8,19,15,34,10,47.9,98.8,3,13,3,13,240.0,1040.0
KRT,KRT-065,150.0,FM 985 GLTP,KRT-065,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-29,2026-02-03,,,767.7,10,47.4,166.6,32,25,57,59,365.4,19,15,34,10,41.6,94.7,3,13,3,13,450.0,1950.0
KRT,KRT-068,80.0,FM 911 GLTP,KRT-068,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-30,2026-02-04,,,634.2,10,40.1,111.5,30,28,58,60,342.9,19,17,36,10,40.1,111.5,2,13,2,13,160.0,1040.0
KRT,KRT-015,150.0,DP 1949 B3RF,KRT-015,2025-10-07,2026-01-30,115.0,2026-02-01 12:00:00,64.31,12.0,-3.0,2026-02-01 12:00:00,2026-01-30,2026-02-06,2026-02-11,,7.0,783.3,12,49.7,117.3,35,31,66,8,32.5,2,4,6,6,26.6,37.8,7,0,7,0,1050.0,0.0
KRT,KRT-016,150.0,FM 974 GLT,KRT-016,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-06,2026-02-11,,,754.7,19,47.6,107.4,34,34,68,67,475.9,23,24,47,19,49.4,107.4,2,13,2,13,300.0,1950.0
KRT,KRT-017,150.0,DP 1949 B3RF,KRT-017,2025-10-01,2026-01-28,119.0,2026-01-26 12:00:00,62.47,9.0,1.0,2026-01-26 12:00:00,2026-01-28,2026-02-06,2026-02-11,,9.0,740.9,10,46.8,110.9,31,28,59,10,20.1,1,2,3,3,21.5,28.7,10,0,10,1,1500.0,150.0
KRT,KRT-019,150.0,DP 1949 B3RF,KRT-019,2025-10-02,2026-01-28,118.0,2026-01-27 12:00:00,67.77,9.0,0.0,2026-01-27 12:00:00,2026-01-28,2026-02-07,2026-02-12,,10.0,728.6,16,46.1,137.6,32,30,62,11,28.4,3,3,6,6,26.4,33.7,10,0,10,1,1500.0,150.0
KRT,KRT-042,100.0,DP 2111 B3RF,KRT-042,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-07,2026-02-12,,,885.2,12,54.8,168.7,38,29,67,68,595.0,25,19,44,10,58.8,168.7,3,13,3,13,300.0,1300.0
KRT,KRT-064,80.0,FM 911 GLTP,KRT-064,2025-10-12,2026-02-06,117.0,2026-02-06 12:00:00,58.85,14.0,-1.0,2026-02-06 12:00:00,2026-02-06,2026-02-10,2026-02-15,,4.0,761.4,10,47.5,146.7,36,25,61,5,2.1,0,0,0,0,17.7,23.4,2,0,2,0,160.0,0.0
KRT,KRT-035,150.0,DP 1949 B3RF,KRT-035,2025-10-03,2026-02-09,129.0,2026-01-28 12:00:00,74.34,9.0,11.0,2026-01-28 12:00:00,2026-02-09,2026-02-13,2026-02-18,,4.0,817.1,12,51.8,138.5,38,30,68,5,65.8,2,2,4,4,48.4,74.4,0,0,11,11,1650.0,1650.0
KRT,KRT-043,138.0,FM 911 GLTP,KRT-043,2025-10-10,2026-02-08,121.0,2026-02-04 12:00:00,69.45,13.0,3.0,2026-02-04 12:00:00,2026-02-08,2026-02-13,2026-02-18,,5.0,959.5,12,59.8,178.3,40,30,70,6,69.3,2,2,4,4,42.6,78.4,1,0,4,3,552.0,414.0
KRT,KRT-002,124.0,FM 933 STP; FM 945 STP,KRT-002,2025-10-12,2026-02-02,113.0,2026-02-06 12:00:00,87.97,14.0,-5.0,2026-02-06 12:00:00,2026-02-02,2026-02-14,2026-02-19,,12.0,744.9,11,49.6,128.1,34,32,66,13,91.1,4,4,8,4,36.5,67.6,12,4,12,4,1488.0,496.0
KRT,KRT-069,80.0,FM 911 GLTP,KRT-069,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-15,2026-02-20,,,690.1,10,43.1,115.3,33,27,60,76,516.1,23,19,42,10,44.0,115.3,1,13,1,13,80.0,1040.0
KRT,KRT-053,75.0,IMA 5801 B2RF; IMA 5901 B2RF,KRT-053,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-16,2026-02-21,,,843.0,19,51.7,154.3,40,32,72,77,569.7,30,24,54,19,47.2,107.3,1,13,1,13,75.0,975.0
KRT,KRT-006,150.0,DP 2111 B3RF; TMG 33 B3RF,KRT-006,2025-09-26,2026-02-12,139.0,2026-01-21 12:00:00,70.71,4.0,21.0,2026-01-21 12:00:00,2026-02-12,2026-02-17,2026-02-22,,5.0,844.8,10,53.3,122.4,38,34,72,6,0.0,0,2,2,2,53.0,77.3,3,2,24,23,3600.0,3450.0
KRT,KRT-054,120.0,DP 1949 B3RF,KRT-054,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-18,2026-02-23,,,727.7,12,44.5,166.1,33,29,62,79,449.9,24,23,47,12,36.9,79.1,0,13,0,13,0.0,1560.0
KRT,KRT-041,127.0,FM 911 GLTP,KRT-041,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-19,2026-02-24,,,803.3,10,50.5,144.5,39,28,67,80,590.4,29,20,49,10,49.9,144.5,0,13,0,13,0.0,1651.0
KRT,KRT-047,160.0,DP 1949 B3RF; TMG 44 B2RF,KRT-047,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-02-28,2026-03-05,,,854.4,10,53.5,124.3,38,29,67,89,775.1,34,23,57,10,55.0,124.3,1,13,1,13,160.0,2080.0
KRT,KRT-051,90.0,DP 2104 B3RF,KRT-051,2025-10-30,2026-03-05,126.0,2026-02-24 12:00:00,80.74,29.0,8.0,2026-02-24 12:00:00,2026-03-05,2026-03-05,2026-03-10,,0.0,785.6,12,48.8,157.1,34,30,64,1,3.3,0,0,0,0,53.4,53.4,0,0,8,8,720.0,720.0
KRT,KRT-055,150.0,BS 2441 STP; BS 2453 STP; DP 2111 B3RF; IMA 3479 B2RF; IMA 563 B3XF; ST APEX 2156 B3RF; TAURA B3XF; TMG 83 B3XF,KRT-055,2025-10-26,2026-03-08,133.0,2026-02-20 12:00:00,83.11,26.0,15.0,2026-02-20 12:00:00,2026-03-08,2026-03-09,2026-03-14,,1.0,828.5,12,51.0,169.4,37,33,70,2,0.2,0,1,1,1,39.3,42.5,1,1,16,16,2400.0,2400.0
KRT,KRT-039,100.0,FM 911 GLTP,KRT-039,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-03-10,2026-03-15,,,828.4,18,52.0,115.9,35,34,69,99,818.8,34,32,66,18,54.9,115.9,1,13,1,13,100.0,1300.0
KRT,KRT-058,150.0,DP 2111 B3RF,KRT-058,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-03-11,2026-03-16,,,664.2,10,41.1,142.7,30,28,58,100,660.4,30,28,58,10,43.5,142.7,1,23,1,23,150.0,3450.0
KRT,KRT-072,125.0,DP 2111 B3RF,KRT-072,2025-11-04,2026-03-10,126.0,2026-03-01 12:00:00,66.52,34.0,8.0,2026-03-01 12:00:00,2026-03-10,2026-03-12,2026-03-17,,2.0,883.3,17,55.2,132.7,39,29,68,3,4.4,0,0,0,0,26.5,29.7,1,0,9,8,1125.0,1000.0
KRT,KRT-051,30.0,DP 2111 B3RF,KRT-051,2025-10-30,2026-03-05,126.0,2026-02-24 12:00:00,80.74,29.0,8.0,2026-02-24 12:00:00,2026-03-05,2026-03-19,2026-03-24,,14.0,785.6,12,48.8,157.1,34,30,64,15,25.4,2,4,6,3,27.3,54.6,0,0,8,8,240.0,240.0
RDM,RDM-102,100.0,FM 974 GLT,RDM-102,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-20,2025-12-25,370.1666666666666,,654.5,12,38.8,91.9,34,35,69,19,169.5,10,6,16,12,49.0,77.1,2,10,2,10,200.0,1000.0
RDM,RDM-105,100.0,FM 974 GLT,RDM-105,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-21,2025-12-26,369.2886666666667,,617.4,10,36.6,82.4,33,31,64,20,154.7,9,5,14,10,49.6,79.5,2,13,2,13,200.0,1300.0
RDM,RDM-107,100.0,FM 974 GLT,RDM-107,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-22,2025-12-27,476.18,,727.8,17,43.5,113.9,36,32,68,21,210.6,10,7,17,10,66.2,113.9,1,13,1,13,100.0,1300.0
RDM,RDM-104,100.0,FM 985 GLTP,RDM-104,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-23,2025-12-28,481.56666666666666,,658.4,13,38.9,90.1,32,32,64,22,159.8,10,7,17,13,48.1,72.1,1,16,1,16,100.0,1600.0
RDM,RDM-108,100.0,FM 985 GLTP,RDM-108,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-23,2025-12-28,,,640.6,10,37.8,87.1,36,32,68,22,166.4,10,7,17,10,51.5,87.1,1,16,1,16,100.0,1600.0
RDM,RDM-132,100.0,FM 985 GLTP,RDM-132,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-25,2025-12-30,328.72666666666663,,919.8,17,54.0,137.1,40,33,73,24,229.5,10,7,17,10,61.9,95.7,0,16,0,16,0.0,1600.0
RDM,RDM-110,100.0,FM 985 GLTP,RDM-110,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-27,2026-01-01,319.29200000000003,,603.6,10,36.1,97.0,32,31,63,26,140.2,9,7,16,10,39.1,76.5,0,16,0,16,0.0,1600.0
RDM,RDM-109,100.0,FM 985 GLTP,RDM-109,,,,,,,,2025-12-02 00:00:00,2025-12-02,2025-12-29,2026-01-03,342.8346666666667,,615.7,12,36.6,75.8,36,33,69,28,153.1,10,6,16,12,38.6,70.5,0,16,0,16,0.0,1600.0
RDM,RDM-131,100.0,FM 985 GLTP,RDM-131,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-02,2026-01-07,312.3466666666667,,733.5,16,43.6,96.7,36,33,69,32,253.7,12,9,21,10,51.1,96.7,2,16,2,16,200.0,1600.0
RDM,RDM-115,150.0,DP 1949 B3RF,RDM-115,,,,,,,,2025-12-02 00:00:00,2025-12-02,2026-01-06,2026-01-11,362.8666666666667,,698.0,9,41.7,92.3,36,31,67,36,260.1,12,9,21,8,44.5,82.5,0,16,0,16,0.0,2400.0
RDM,RDM-103,100.0,IMA 5901 B2RF,RDM-103,2025-09-30,2026-01-25,117.0,2026-01-25 00:00:00,71.62,0.0,0.0,2026-01-25 00:00:00,2026-01-25,2026-01-27,2026-02-01,,2.0,650.2,13,38.9,91.4,33,34,67,3,0.0,0,2,2,2,42.0,49.3,2,2,2,2,200.0,200.0
RDM,RDM-101,114.0,FM 974 GLT,RDM-101,2025-10-02,2026-01-27,117.0,2026-01-27 00:00:00,82.97,1.0,0.0,2026-01-27 00:00:00,2026-01-27,2026-01-28,2026-02-02,,1.0,672.8,14,40.4,97.9,33,31,64,2,3.8,0,0,0,0,35.8,36.6,1,1,1,1,114.0,114.0
RDM,RDM-114,120.0,FM 911 GLTP,RDM-114,2025-10-09,2026-01-29,112.0,2026-02-03 00:00:00,73.1,6.0,-5.0,2026-02-03 00:00:00,2026-01-29,2026-01-30,2026-02-04,,1.0,666.0,10,40.3,91.3,32,30,62,2,11.0,1,0,1,1,41.0,43.6,0,0,0,0,0.0,0.0
RDM,RDM-112,150.0,FM 911 GLTP,RDM-112,2025-10-08,2026-02-01,116.0,2026-02-02 00:00:00,78.05,6.0,-1.0,2026-02-02 00:00:00,2026-02-01,2026-02-02,2026-02-07,,1.0,649.2,17,39.2,92.8,34,31,65,2,62.7,2,0,2,2,63.5,81.0,4,4,4,4,600.0,600.0
RDM,RDM-113,150.0,DP 1949 B3RF,RDM-113,2025-10-22,2026-02-17,118.0,2026-02-16 00:00:00,73.88,15.0,1.0,2026-02-16 00:00:00,2026-02-17,2026-02-18,2026-02-23,,1.0,633.6,10,38.1,92.2,30,35,65,2,0.0,0,0,0,0,15.3,16.6,0,0,1,1,150.0,150.0
RDM,RDM-106,100.0,DP 2252 B3XF; DP 2297 B3XF; FM 911 GLTP,RDM-106,2025-10-26,2026-02-19,116.0,2026-02-20 00:00:00,83.01,18.0,-1.0,2026-02-20 00:00:00,2026-02-19,2026-02-20,2026-02-25,,1.0,612.4,10,35.9,77.5,34,31,65,2,36.8,1,0,1,1,31.2,46.7,0,0,0,0,0.0,0.0
RDM,RDM-123,150.0,DP 1949 B3RF,RDM-123,2025-10-16,2026-03-04,139.0,2026-02-10 00:00:00,94.72,11.0,22.0,2026-02-10 00:00:00,2026-03-04,2026-03-04,2026-03-09,,0.0,772.4,16,45.9,125.7,31,32,63,1,0.0,0,1,1,1,41.7,41.7,4,4,26,26,3900.0,3900.0
RDM,RDM-122,150.0,DP 1949 B3RF; DP 2111 B3RF,RDM-122,2025-10-11,2026-03-06,146.0,2026-02-05 00:00:00,58.28,7.0,29.0,2026-02-05 00:00:00,2026-03-06,2026-03-07,2026-03-12,,1.0,804.0,16,48.2,126.3,35,34,69,2,0.0,0,2,2,2,36.2,39.1,3,3,32,32,4800.0,4800.0
RDM,RDM-117,150.0,FM 911 GLTP; FM 945 STP,RDM-117,2025-11-01,2026-03-09,128.0,2026-02-26 00:00:00,90.27,22.0,11.0,2026-02-26 00:00:00,2026-03-09,2026-03-10,2026-03-15,,1.0,835.8,16,49.9,110.7,37,32,69,2,0.0,0,0,0,0,27.0,29.2,1,1,12,12,1800.0,1800.0
RDM,RDM-116,66.0,DP 2111 B3RF; FM 911 GLTP,RDM-116,2025-10-28,2026-03-14,137.0,2026-02-22 00:00:00,96.26,19.0,20.0,2026-02-22 00:00:00,2026-03-14,2026-03-14,2026-03-19,,0.0,731.0,10,43.8,100.6,35,35,70,1,0.0,0,1,1,1,17.0,17.0,5,5,25,25,1650.0,1650.0
