pivo,n_dias,acum_prim,acum_sec,razao_sec_prim,corr
KRT-001,197,1285.79,1296.0900000000001,1.0080106393734594,0.812790239307129
KRT-002,197,1176.16,513.24,0.43636920146918784,0.653973016776541
KRT-004,197,1129.01,338.76,0.3000504867095951,0.48172756598670124
KRT-006,197,1184.37,509.17999999999995,0.4299163268235433,0.5541990457217726
KRT-007,197,1355.06,1194.8899999999999,0.8817985919442681,0.8006381690962295
