fazenda,pivo_id,area_ha,variedades,pluviometro,soja_plantio,soja_colheita,soja_ciclo,soja_prod_sc_ha,liberacao,algodao_plantio,algodao_emergencia,arrobas_ha,jan_dias,jan_chuva_mm,jan_dias_maior5,jan_dias_resid,jan_dias_bloq,jan_dias_agric,jan_maior_seq_bloq,jan_api_medio,jan_api_max,camp_chuva_mm,camp_dias_maior5,camp_dias_resid,camp_dias_bloq,camp_maior_seq_bloq,camp_api_medio,camp_api_max,espera_pos_colheita_soja
KRT,KRT-051,30.0,DP 2111 B3RF,KRT-051,2025-10-30,2026-03-05,126.0,80.74,2026-03-05,2026-03-19,2026-03-24,,15,25.4,2,4,6,9,3,27.3,54.6,785.6,34,30,64,12,48.8,157.1,14.0
KRT,KRT-053,75.0,IMA 5801 B2RF; IMA 5901 B2RF,KRT-053,,,,,2025-12-02,2026-02-16,2026-02-21,,77,569.7,30,24,54,23,19,47.2,107.3,843.0,40,32,72,19,51.7,154.3,
KRT,KRT-054,120.0,DP 1949 B3RF,KRT-054,,,,,2025-12-02,2026-02-18,2026-02-23,,79,449.9,24,23,47,32,12,36.9,79.1,727.7,33,29,62,12,44.5,166.1,
KRT,KRT-055,150.0,BS 2441 STP; BS 2453 STP; DP 2111 B3RF; IMA 3479 B2RF; IMA 563 B3XF; ST APEX 2156 B3RF; TAURA B3XF; TMG 83 B3XF,KRT-055,2025-10-26,2026-03-08,133.0,83.11,2026-03-08,2026-03-09,2026-03-14,,2,0.2,0,1,1,1,1,39.3,42.5,828.5,37,33,70,12,51.0,169.4,1.0
KRT,KRT-056,150.0,FM 911 GLTP,KRT-056,,,,,2025-12-02,2026-01-16,2026-01-21,,46,306.0,14,14,28,18,12,44.3,90.5,777.2,35,28,63,12,47.8,168.4,
KRT,KRT-057,150.0,FM 911 GLTP,KRT-057,,,,,2025-12-02,2025-12-11,2025-12-16,268.53200000000004,10,100.3,5,2,7,3,7,53.2,91.9,628.8,33,30,63,12,38.8,110.7,
KRT,KRT-058,150.0,DP 2111 B3RF,KRT-058,,,,,2025-12-02,2026-03-11,2026-03-16,,100,660.4,30,28,58,42,10,43.5,142.7,664.2,30,28,58,10,41.1,142.7,
KRT,KRT-059,73.0,FM 911 GLTP,KRT-059,,,,,2025-12-02,2025-12-17,2025-12-22,452.9187214611872,16,123.4,8,5,13,3,7,51.4,92.6,717.5,35,28,63,10,44.4,114.1,
KRT,KRT-059,73.0,DP 2111 B3RF,KRT-059,,,,,2025-12-02,2026-01-03,2026-01-08,,33,234.4,12,9,21,12,9,40.0,92.6,717.5,35,28,63,10,44.4,114.1,
KRT,KRT-060,150.0,DP 1949 B3RF,KRT-060,,,,,2025-12-02,2025-12-08,2025-12-13,312.3311111111111,7,122.2,5,0,5,2,5,60.4,115.8,756.4,34,28,62,13,46.8,158.4,
KRT,KRT-061,145.0,FM 911 GLTP,KRT-061,,,,,2025-12-02,2025-12-29,2026-01-03,272.7177011494253,28,129.0,9,7,16,12,9,36.4,83.9,693.9,37,30,67,13,42.8,118.6,
KRT,KRT-062,140.0,DP 2111 B3RF,KRT-062,,,,,2025-12-02,2026-01-11,2026-01-16,281.3957142857143,41,226.1,13,11,24,17,10,37.5,91.0,717.4,35,28,63,13,44.4,142.5,
KRT,KRT-063,80.0,FM 985 GLTP,KRT-063,,,,,2025-12-02,2026-01-28,2026-02-02,,58,411.8,19,15,34,24,10,47.9,98.8,798.2,34,27,61,10,49.6,140.3,
KRT,KRT-064,80.0,FM 911 GLTP,KRT-064,2025-10-12,2026-02-06,117.0,58.85,2026-02-06,2026-02-10,2026-02-15,,5,2.1,0,0,0,5,0,17.7,23.4,761.4,36,25,61,10,47.5,146.7,4.0
KRT,KRT-065,150.0,FM 985 GLTP,KRT-065,,,,,2025-12-02,2026-01-29,2026-02-03,,59,365.4,19,15,34,25,10,41.6,94.7,767.7,32,25,57,10,47.4,166.6,
KRT,KRT-066,100.0,DP 1949 B3RF,KRT-066,,,,,2025-12-02,2025-12-08,2025-12-13,298.138,7,71.4,5,0,5,2,5,43.5,71.3,531.8,30,28,58,10,33.2,101.0,
KRT,KRT-067,80.0,FM 979 STP,KRT-067,,,,,2025-12-02,2025-12-13,2025-12-18,384.7975,12,99.3,5,2,7,5,7,55.3,92.3,683.1,33,30,63,10,42.3,117.1,
KRT,KRT-068,80.0,FM 911 GLTP,KRT-068,,,,,2025-12-02,2026-01-30,2026-02-04,,60,342.9,19,17,36,24,10,40.1,111.5,634.2,30,28,58,10,40.1,111.5,
KRT,KRT-069,80.0,FM 911 GLTP,KRT-069,,,,,2025-12-02,2026-02-15,2026-02-20,,76,516.1,23,19,42,34,10,44.0,115.3,690.1,33,27,60,10,43.1,115.3,
KRT,KRT-070,150.0,FM 911 GLTP,KRT-070,,,,,2025-12-02,2025-12-26,2025-12-31,354.20444444444445,25,182.0,9,7,16,9,11,54.1,105.5,794.7,35,33,68,13,49.5,139.9,
KRT,KRT-072,125.0,DP 2111 B3RF,KRT-072,2025-11-04,2026-03-10,126.0,66.52,2026-03-10,2026-03-12,2026-03-17,,3,4.4,0,0,0,3,0,26.5,29.7,883.3,39,29,68,17,55.2,132.7,2.0
KRT,KRT-073,160.0,FM 985 GLTP,KRT-073,,,,,2025-12-02,2026-01-01,2026-01-06,161.65958333333333,31,242.8,9,7,16,15,8,51.1,98.4,876.5,36,31,67,16,54.0,135.7,
RDM,RDM-101,114.0,FM 974 GLT,RDM-101,2025-10-02,2026-01-27,117.0,82.97,2026-01-27,2026-01-28,2026-02-02,,2,3.8,0,0,0,2,0,35.8,36.6,672.8,33,31,64,14,40.4,97.9,1.0
RDM,RDM-102,100.0,FM 974 GLT,RDM-102,,,,,2025-12-02,2025-12-20,2025-12-25,370.1666666666666,19,169.5,10,6,16,3,12,49.0,77.1,654.5,34,35,69,12,38.8,91.9,
RDM,RDM-103,100.0,IMA 5901 B2RF,RDM-103,2025-09-30,2026-01-25,117.0,71.62,2026-01-25,2026-01-27,2026-02-01,,3,0.0,0,2,2,1,2,42.0,49.3,650.2,33,34,67,13,38.9,91.4,2.0
RDM,RDM-104,100.0,FM 985 GLTP,RDM-104,,,,,2025-12-02,2025-12-23,2025-12-28,481.56666666666666,22,159.8,10,7,17,5,13,48.1,72.1,658.4,32,32,64,13,38.9,90.1,
RDM,RDM-105,100.0,FM 974 GLT,RDM-105,,,,,2025-12-02,2025-12-21,2025-12-26,369.2886666666667,20,154.7,9,5,14,6,10,49.6,79.5,617.4,33,31,64,10,36.6,82.4,
RDM,RDM-106,100.0,DP 2252 B3XF; DP 2297 B3XF; FM 911 GLTP,RDM-106,2025-10-26,2026-02-19,116.0,83.01,2026-02-19,2026-02-20,2026-02-25,,2,36.8,1,0,1,1,1,31.2,46.7,612.4,34,31,65,10,35.9,77.5,1.0
RDM,RDM-107,100.0,FM 974 GLT,RDM-107,,,,,2025-12-02,2025-12-22,2025-12-27,476.18,21,210.6,10,7,17,4,10,66.2,113.9,727.8,36,32,68,17,43.5,113.9,
RDM,RDM-108,100.0,FM 985 GLTP,RDM-108,,,,,2025-12-02,2025-12-23,2025-12-28,,22,166.4,10,7,17,5,10,51.5,87.1,640.6,36,32,68,10,37.8,87.1,
RDM,RDM-109,100.0,FM 985 GLTP,RDM-109,,,,,2025-12-02,2025-12-29,2026-01-03,342.8346666666667,28,153.1,10,6,16,12,12,38.6,70.5,615.7,36,33,69,12,36.6,75.8,
RDM,RDM-110,100.0,FM 985 GLTP,RDM-110,,,,,2025-12-02,2025-12-27,2026-01-01,319.29200000000003,26,140.2,9,7,16,10,10,39.1,76.5,603.6,32,31,63,10,36.1,97.0,
RDM,RDM-112,150.0,FM 911 GLTP,RDM-112,2025-10-08,2026-02-01,116.0,78.05,2026-02-01,2026-02-02,2026-02-07,,2,62.7,2,0,2,0,2,63.5,81.0,649.2,34,31,65,17,39.2,92.8,1.0
RDM,RDM-113,150.0,DP 1949 B3RF,RDM-113,2025-10-22,2026-02-17,118.0,73.88,2026-02-17,2026-02-18,2026-02-23,,2,0.0,0,0,0,2,0,15.3,16.6,633.6,30,35,65,10,38.1,92.2,1.0
RDM,RDM-114,120.0,FM 911 GLTP,RDM-114,2025-10-09,2026-01-29,112.0,73.1,2026-01-29,2026-01-30,2026-02-04,,2,11.0,1,0,1,1,1,41.0,43.6,666.0,32,30,62,10,40.3,91.3,1.0
RDM,RDM-115,150.0,DP 1949 B3RF,RDM-115,,,,,2025-12-02,2026-01-06,2026-01-11,362.8666666666667,36,260.1,12,9,21,15,8,44.5,82.5,698.0,36,31,67,9,41.7,92.3,
RDM,RDM-116,66.0,DP 2111 B3RF; FM 911 GLTP,RDM-116,2025-10-28,2026-03-14,137.0,96.26,2026-03-14,2026-03-14,2026-03-19,,1,0.0,0,1,1,0,1,17.0,17.0,731.0,35,35,70,10,43.8,100.6,0.0
RDM,RDM-117,150.0,FM 911 GLTP; FM 945 STP,RDM-117,2025-11-01,2026-03-09,128.0,90.27,2026-03-09,2026-03-10,2026-03-15,,2,0.0,0,0,0,2,0,27.0,29.2,835.8,37,32,69,16,49.9,110.7,1.0
RDM,RDM-122,150.0,DP 1949 B3RF; DP 2111 B3RF,RDM-122,2025-10-11,2026-03-06,146.0,58.28,2026-03-06,2026-03-07,2026-03-12,,2,0.0,0,2,2,0,2,36.2,39.1,804.0,35,34,69,16,48.2,126.3,1.0
RDM,RDM-123,150.0,DP 1949 B3RF,RDM-123,2025-10-16,2026-03-04,139.0,94.72,2026-03-04,2026-03-04,2026-03-09,,1,0.0,0,1,1,0,1,41.7,41.7,772.4,31,32,63,16,45.9,125.7,0.0
RDM,RDM-131,100.0,FM 985 GLTP,RDM-131,,,,,2025-12-02,2026-01-02,2026-01-07,312.3466666666667,32,253.7,12,9,21,11,10,51.1,96.7,733.5,36,33,69,16,43.6,96.7,
RDM,RDM-132,100.0,FM 985 GLTP,RDM-132,,,,,2025-12-02,2025-12-25,2025-12-30,328.72666666666663,24,229.5,10,7,17,7,10,61.9,95.7,919.8,40,33,73,17,54.0,137.1,
