data,pluvio_id,mm,fazenda
2025-09-11,KRT-059,0.0,KRT
2025-09-11,KRT-060,0.0,KRT
2025-09-11,KRT-061,0.0,KRT
2025-09-11,KRT-062,0.0,KRT
2025-09-11,KRT-063,0.0,KRT
2025-09-11,KRT-064,0.0,KRT
2025-09-11,KRT-065,0.0,KRT
2025-09-11,KRT-066,0.0,KRT
2025-09-11,KRT-067,0.0,KRT
2025-09-11,KRT-068,0.0,KRT
2025-09-11,KRT-069,0.0,KRT
2025-09-11,KRT-070,0.0,KRT
2025-09-11,KRT-071,0.0,KRT
2025-09-11,KRT-072,0.0,KRT
2025-09-11,KRT-073,0.0,KRT
2025-09-11,KRT-074,0.0,KRT
2025-09-12,KRT-001,0.0,KRT
2025-09-12,KRT-002,0.0,KRT
2025-09-12,KRT-003,0.0,KRT
2025-09-12,KRT-004,0.0,KRT
2025-09-12,KRT-005,0.0,KRT
2025-09-12,KRT-006,0.0,KRT
2025-09-12,KRT-007,0.0,KRT
2025-09-12,KRT-008,0.0,KRT
2025-09-12,KRT-009,0.0,KRT
2025-09-12,KRT-010,0.0,KRT
2025-09-12,KRT-011,0.0,KRT
2025-09-12,KRT-012,0.0,KRT
2025-09-12,KRT-013,0.0,KRT
2025-09-12,KRT-014,0.0,KRT
2025-09-12,KRT-015,0.0,KRT
2025-09-12,KRT-016,0.0,KRT
2025-09-12,KRT-017,0.0,KRT
2025-09-12,KRT-018,0.0,KRT
2025-09-12,KRT-019,0.0,KRT
2025-09-12,KRT-020,0.0,KRT
2025-09-12,KRT-021,0.0,KRT
2025-09-12,KRT-022,0.0,KRT
2025-09-12,KRT-023,0.0,KRT
2025-09-12,KRT-024,0.0,KRT
2025-09-12,KRT-025,0.0,KRT
2025-09-12,KRT-026,0.0,KRT
2025-09-12,KRT-027,0.0,KRT
2025-09-12,KRT-028,0.0,KRT
2025-09-12,KRT-029,0.0,KRT
2025-09-12,KRT-030,0.0,KRT
2025-09-12,KRT-031,0.0,KRT
2025-09-12,KRT-032,0.0,KRT
2025-09-12,KRT-033,0.0,KRT
2025-09-12,KRT-034,0.0,KRT
2025-09-12,KRT-035,0.0,KRT
2025-09-12,KRT-036,0.0,KRT
2025-09-12,KRT-037,0.0,KRT
2025-09-12,KRT-038,0.0,KRT
2025-09-12,KRT-039,0.0,KRT
2025-09-12,KRT-040,0.0,KRT
2025-09-12,KRT-041,0.0,KRT
2025-09-12,KRT-042,0.0,KRT
2025-09-12,KRT-043,0.0,KRT
2025-09-12,KRT-044,0.0,KRT
2025-09-12,KRT-045,0.0,KRT
2025-09-12,KRT-046,0.0,KRT
2025-09-12,KRT-047,0.0,KRT
2025-09-12,KRT-048,0.0,KRT
2025-09-12,KRT-049,0.0,KRT
2025-09-12,KRT-050,0.0,KRT
2025-09-12,KRT-051,0.0,KRT
2025-09-12,KRT-052,0.0,KRT
2025-09-12,KRT-053,0.0,KRT
2025-09-12,KRT-054,0.0,KRT
2025-09-12,KRT-055,0.0,KRT
2025-09-12,KRT-056,0.0,KRT
2025-09-12,KRT-057,0.0,KRT
2025-09-12,KRT-058,0.0,KRT
2025-09-12,KRT-059,0.0,KRT
2025-09-12,KRT-060,0.0,KRT
2025-09-12,KRT-061,0.0,KRT
2025-09-12,KRT-062,0.0,KRT
2025-09-12,KRT-063,0.0,KRT
2025-09-12,KRT-064,0.0,KRT
2025-09-12,KRT-065,0.0,KRT
2025-09-12,KRT-066,0.0,KRT
2025-09-12,KRT-067,0.0,KRT
2025-09-12,KRT-068,0.0,KRT
2025-09-12,KRT-069,0.0,KRT
2025-09-12,KRT-070,0.0,KRT
2025-09-12,KRT-071,0.0,KRT
2025-09-12,KRT-072,0.0,KRT
2025-09-12,KRT-073,0.0,KRT
2025-09-12,KRT-074,0.0,KRT
2025-09-13,KRT-001,0.0,KRT
2025-09-13,KRT-002,0.0,KRT
2025-09-13,KRT-003,0.0,KRT
2025-09-13,KRT-004,0.0,KRT
2025-09-13,KRT-005,0.0,KRT
2025-09-13,KRT-006,0.0,KRT
2025-09-13,KRT-007,0.0,KRT
2025-09-13,KRT-008,0.0,KRT
2025-09-13,KRT-009,0.0,KRT
2025-09-13,KRT-010,0.0,KRT
2025-09-13,KRT-011,0.0,KRT
2025-09-13,KRT-012,0.0,KRT
